setting,analysis_scope,panel_id,ESS,ESS_fraction,weight_cv,clip_rate
Formal-12,post-gold retrospective analysis,counselbench,35.39687643899837,0.11798958812999456,2.744725154408956,0.0033333333333333335
Formal-12,post-gold retrospective analysis,gbb_jme,236.65569128740353,0.9860653803641813,0.11880422433882032,0.0
Formal-12,post-gold retrospective analysis,hanna,433.57529838624583,0.4516409358190061,1.1020014285727668,0.0
Formal-12,post-gold retrospective analysis,openmeva_roc,629.6407513507461,0.7870509391884326,0.5201414852977456,0.0
Formal-12,post-gold retrospective analysis,openmeva_wp,287.8007586303311,0.3597509482879138,1.3341320813152768,0.0
Formal-12,post-gold retrospective analysis,psycsumeval,124.46663070962279,0.37377366579466303,1.2945798696162407,0.0
Formal-12,post-gold retrospective analysis,rwanda,116.99054971340506,0.057801654996741635,4.037458150593772,0.006422924901185771
Formal-12,post-gold retrospective analysis,summeval,1364.3830972456274,0.9095887314970849,0.3152648630587506,0.0
Formal-12,post-gold retrospective analysis,warmth_substance,190.03900027402037,0.5027486779735989,0.9945730262152789,0.0
Formal-12,post-gold retrospective analysis,wellbeing_advice_study1,66.64122361392026,0.4442748240928018,1.1184269876656092,0.0
Formal-12,post-gold retrospective analysis,wmt20_ende,12161.460546768789,0.9742418126066483,0.1625917153859853,0.0
Formal-12,post-gold retrospective analysis,wmt20_zhen,17668.087396326267,0.9884797692920592,0.10794195798608475,0.0
