setting,analysis_scope,panel,method,nSAE,nMAE,nRMSE,normalized_bias,centered_error_sd,predicted_mean_unit,true_mean_unit,n_seeds
Diagnostic-11P,retrospective fixed-responder diagnostic,counselbench,A_DM,0.06547215626923181,0.16183349962001467,0.20334411247048867,-0.06547215626923181,0.19164980634913534,0.49852784373076825,0.564,3
Diagnostic-11P,retrospective fixed-responder diagnostic,counselbench,B_TEXT_SYSTEM,0.11639062970430447,0.18572702560242416,0.22005716062967326,0.11639062970430447,0.1867222851394649,0.6803906297043044,0.564,3
Diagnostic-11P,retrospective fixed-responder diagnostic,counselbench,C_SOURCE_ROW,0.11082118905024108,0.1846384509903826,0.2247045179867249,0.11082118905024108,0.19530204139012833,0.674821189050241,0.564,3
Diagnostic-11P,retrospective fixed-responder diagnostic,counselbench,D_SOURCE_SYSTEM,0.10806008904864674,0.18373617372544312,0.22355612350048196,0.10806008904864674,0.1956435955932474,0.6720600890486468,0.564,3
Diagnostic-11P,retrospective fixed-responder diagnostic,counselbench,E_TEXT_ROW,0.12205701516653183,0.18620845143733936,0.2237963152590066,0.12205701516653183,0.1873974121282819,0.686057015166532,0.564,3
Diagnostic-11P,retrospective fixed-responder diagnostic,gbb_jme,A_DM,0.022017592653004858,0.2293384479544347,0.30304180498434774,-0.019214512554194544,0.3018867566583427,0.5832546232482746,0.6024691358024691,3
Diagnostic-11P,retrospective fixed-responder diagnostic,gbb_jme,B_TEXT_SYSTEM,0.016651620737465192,0.23205472307778363,0.30174420957149795,-0.016651620737465192,0.30126364020605884,0.585817515065004,0.6024691358024691,3
Diagnostic-11P,retrospective fixed-responder diagnostic,gbb_jme,C_SOURCE_ROW,0.014087175812075588,0.2113783174557008,0.27597285733404825,-0.010275827884489212,0.2754042063324689,0.5921933079179799,0.6024691358024691,3
Diagnostic-11P,retrospective fixed-responder diagnostic,gbb_jme,D_SOURCE_SYSTEM,0.0033945496177343708,0.21784207084101284,0.28732633356805254,-0.00029108723875522256,0.2873049098982306,0.6021780485637139,0.6024691358024691,3
Diagnostic-11P,retrospective fixed-responder diagnostic,gbb_jme,E_TEXT_ROW,0.017500598148343118,0.23040457286470786,0.2921587989042184,-0.017500598148343118,0.29150450789907756,0.584968537654126,0.6024691358024691,3
Diagnostic-11P,retrospective fixed-responder diagnostic,hanna,A_DM,0.0062687045857391585,0.10314774229643091,0.13017342621497,0.0028826258636669533,0.12994791695222926,0.5384729036414447,0.5355902777777778,3
Diagnostic-11P,retrospective fixed-responder diagnostic,hanna,B_TEXT_SYSTEM,0.033351779054563706,0.11178022631939812,0.1440083244292729,-0.033351779054563706,0.1400750364167193,0.5022384987232141,0.5355902777777778,3
Diagnostic-11P,retrospective fixed-responder diagnostic,hanna,C_SOURCE_ROW,0.034714539413602856,0.11028728283936072,0.13235901882857207,-0.034714539413602856,0.12770175872408734,0.5008757383641749,0.5355902777777778,3
Diagnostic-11P,retrospective fixed-responder diagnostic,hanna,D_SOURCE_SYSTEM,0.020840667796966417,0.1062822577651162,0.13332117376044575,-0.020840667796966417,0.1316679451644773,0.5147496099808114,0.5355902777777778,3
Diagnostic-11P,retrospective fixed-responder diagnostic,hanna,E_TEXT_ROW,0.04473586821882766,0.1131066647053642,0.13555610282143124,-0.04473586821882766,0.1278770128441216,0.49085440955895016,0.5355902777777778,3
Diagnostic-11P,retrospective fixed-responder diagnostic,openmeva_roc,A_DM,0.2756485541068645,0.29378297893693417,0.34394390058669017,-0.2756485541068645,0.20564910016681115,0.2758514458931355,0.5515,3
Diagnostic-11P,retrospective fixed-responder diagnostic,openmeva_roc,B_TEXT_SYSTEM,0.27788417841726015,0.30195159445005526,0.3581369315724688,-0.27788417841726015,0.2258547781350845,0.27361582158273984,0.5515,3
Diagnostic-11P,retrospective fixed-responder diagnostic,openmeva_roc,C_SOURCE_ROW,0.2783375302528514,0.2947697451321318,0.3443683399479888,-0.2783375302528514,0.20276840313251496,0.2731624697471486,0.5515,3
Diagnostic-11P,retrospective fixed-responder diagnostic,openmeva_roc,D_SOURCE_SYSTEM,0.28127259496531837,0.3019715521116516,0.3581117770362405,-0.28127259496531837,0.22158417411117368,0.27022740503468157,0.5515,3
Diagnostic-11P,retrospective fixed-responder diagnostic,openmeva_roc,E_TEXT_ROW,0.27686630112197763,0.29507363180336615,0.3458903976246072,-0.27686630112197763,0.20732797345960882,0.2746336988780224,0.5515,3
Diagnostic-11P,retrospective fixed-responder diagnostic,openmeva_wp,A_DM,0.009775874656525463,0.13462848612324105,0.16291421508547985,0.00966291723219345,0.1624297780679819,0.43566291723219347,0.42599999999999993,3
